geocode,municipio,latitude,longitude
1718899,SANTA RITA DO TOCANTINS,-10.866455,-48.909294
1718907,SANTA ROSA DO TOCANTINS,-11.451404,-48.119954
1719004,SANTA TEREZA DO TOCANTINS,-10.282362,-47.806288
1720002,SANTA TEREZINHA DO TOCANTINS,-6.436998,-47.684285
1720101,SÃO BENTO DO TOCANTINS,-6.044999,-47.919392
1720150,SÃO FÉLIX DO TOCANTINS,-10.173286,-46.654981
1720200,SÃO MIGUEL DO TOCANTINS,-5.55382,-47.573002
1720259,SÃO SALVADOR DO TOCANTINS,-12.747433,-48.232085
1720309,SÃO SEBASTIÃO DO TOCANTINS,-5.258961,-48.203834
1720499,SÃO VALÉRIO,-11.973067,-48.232948
1720655,SILVANÓPOLIS,-11.149861,-48.179824
1720804,SÍTIO NOVO DO TOCANTINS,-5.604727,-47.637423
1720853,SUCUPIRA,-11.986222,-48.911126
1720903,TAGUATINGA,-12.396142,-46.438732
1720937,TAIPAS DO TOCANTINS,-12.192837,-46.984572
1720978,TALISMÃ,-12.787538,-49.091118
1721000,PALMAS,-10.163253,-48.351044
1721109,TOCANTÍNIA,-9.558148,-48.37588
1721208,TOCANTINÓPOLIS,-6.325634,-47.427413
1721257,TUPIRAMA,-8.98057,-48.206685
1721307,TUPIRATINS,-8.39553,-48.122996
1722081,WANDERLÂNDIA,-6.850126,-47.956268
1722107,XAMBIOÁ,-6.411885,-48.531601
2100055,AÇAILÂNDIA,-4.951377,-47.506665
2100105,AFONSO CUNHA,-4.135015,-43.320869
2100154,ÁGUA DOCE DO MARANHÃO,-2.840278,-42.115551
2100204,ALCÂNTARA,-2.403277,-44.417013
2100303,ALDEIAS ALTAS,-4.630779,-43.468735
2100402,ALTAMIRA DO MARANHÃO,-4.162269,-45.464676
2100436,ALTO ALEGRE DO MARANHÃO,-4.207227,-44.448247
2100477,ALTO ALEGRE DO PINDARÉ,-3.66517,-45.84208
2100501,ALTO PARNAÍBA,-9.108366,-45.927344
2100550,AMAPÁ DO MARANHÃO,-1.680921,-46.00918
2100600,AMARANTE DO MARANHÃO,-5.557662,-46.750638
2100709,ANAJATUBA,-3.257555,-44.62067
2100808,ANAPURUS,-3.667035,-43.105793
2100832,APICUM-AÇU,-1.530592,-45.076652
2100873,ARAGUANÃ,-2.949126,-45.668794
2100907,ARAIOSES,-2.889256,-41.899139
2100956,ARAME,-4.886082,-46.013636
2101004,ARARI,-3.459171,-44.778835
2101103,AXIXÁ,-2.837797,-44.054586
2101202,BACABAL,-4.231525,-44.781556
2101251,BACABEIRA,-2.985825,-44.315423
2101301,BACURI,-1.724046,-45.137349
2101350,BACURITUBA,-2.710872,-44.735742
2101400,BALSAS,-7.53117,-46.038993
2101509,BARÃO DE GRAJAÚ,-6.758955,-43.026453
2101608,BARRA DO CORDA,-5.50834,-45.239011
2101707,BARREIRINHAS,-2.750086,-42.827803
2101731,BELÁGUA,-3.156772,-43.510062
2101772,BELA VISTA DO MARANHÃO,-3.737733,-45.248246
2101806,BENEDITO LEITE,-7.2188,-44.559857
2101905,BEQUIMÃO,-2.462063,-44.78573
2101939,BERNARDO DO MEARIM,-4.630287,-44.764323
2101970,BOA VISTA DO GURUPI,-1.793296,-46.29871
2102002,BOM JARDIM,-3.544161,-45.601889
2102036,BOM JESUS DAS SELVAS,-4.489968,-46.853241
2102077,BOM LUGAR,-4.37551,-45.031108
2102101,BREJO,-3.679178,-42.750848
2102150,BREJO DE AREIA,-4.33063,-45.582095
2102200,BURITI,-3.945572,-42.925106
2102309,BURITI BRAVO,-5.835288,-43.835622
2102325,BURITICUPU,-4.325948,-46.451495
2102358,BURITIRANA,-5.588915,-47.017225
2102374,CACHOEIRA GRANDE,-2.931921,-44.059685
2102408,CAJAPIÓ,-2.882882,-44.673377
2102507,CAJARI,-3.323869,-45.007965
2102556,CAMPESTRE DO MARANHÃO,-6.164717,-47.367633
2102606,CÂNDIDO MENDES,-1.453889,-45.737268
2102705,CANTANHEDE,-3.628364,-44.381816
2102754,CAPINZAL DO NORTE,-4.721245,-44.330436
2102804,CAROLINA,-7.330783,-47.470092
2102903,CARUTAPERA,-1.200602,-46.023151
2103000,CAXIAS,-4.861675,-43.358539
2103109,CEDRAL,-1.997916,-44.53079
2103125,CENTRAL DO MARANHÃO,-2.191314,-44.831844
2103158,CENTRO DO GUILHERME,-2.456985,-46.03996
2103174,CENTRO NOVO DO MARANHÃO,-2.144292,-46.128409
2103208,CHAPADINHA,-3.740025,-43.361121
2103257,CIDELÂNDIA,-5.177421,-47.784233
2103307,CODÓ,-4.451338,-43.88608
2103406,COELHO NETO,-4.254738,-43.014014
